Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    132    1.3%      LazyCompile: *Uint8ArrayConstructByIterable native typedarray.js:127:39
    131   99.2%        LazyCompile: *Uint8Array native typedarray.js:158:31
     77   58.8%          LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
     77  100.0%            Function: ~getAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:77:20
     48   36.6%          LazyCompile: *keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
     18   37.5%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
     11   22.9%            Builtin: ArrayForEach
     10   20.8%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
      9   18.8%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      6    4.6%          LazyCompile: *arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
      2   33.3%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      2   33.3%            Function: ~keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
      1   16.7%            LazyCompile: *encode C:\node\cryptodev\node_modules\ethers-contracts\interface.js:110:25
      1   16.7%            Builtin: ArrayForEach
    120    1.2%      LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     94   78.3%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     94  100.0%          LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     52   55.3%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:748:22
     42   44.7%            LazyCompile: *handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     24   20.0%        Function: ~handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     24  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     24  100.0%            LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
      2    1.7%        LazyCompile: *handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
      2  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
      2  100.0%            LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
    113    1.2%      Builtin: StringPrototypeSplit
     67   59.3%        LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
     67  100.0%          Function: ~getAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:77:20
     45   67.2%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
     11   16.4%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
      8   11.9%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      3    4.5%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
     11    9.7%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
     11  100.0%          Builtin: PromiseHandle
     11  100.0%            Stub: CallApiCallbackStub
     10    8.8%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
     10  100.0%          Builtin: ArrayForEach
     10  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      9    8.0%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
      9  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      9  100.0%            Builtin: ArrayForEach
      4    3.5%        Builtin: ArrayForEach
      4  100.0%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      4  100.0%            Builtin: PromiseHandle
      3    2.7%        Function: ~Document.isModified C:\node\cryptodev\node_modules\mongoose\lib\document.js:1106:41
      3  100.0%          Function: ~_init C:\node\cryptodev\node_modules\mongoose\lib\document.js:389:17
      3  100.0%            Function: ~init C:\node\cryptodev\node_modules\mongoose\lib\document.js:375:14
      2    1.8%        LazyCompile: *get C:\node\cryptodev\node_modules\mongoose\lib\services\document\compile.js:120:20
      1   50.0%          LazyCompile: *Promise.all.tokenIds.map C:\node\cryptodev\contract-parser.js:183:36
      1  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      1   50.0%          LazyCompile: *Document C:\node\cryptodev\node_modules\mongoose\lib\document.js:47:18
      1  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongoose\lib\query.js:1500:46
      2    1.8%        LazyCompile: *Document.$__buildDoc C:\node\cryptodev\node_modules\mongoose\lib\document.js:178:42
      1   50.0%          LazyCompile: *Document C:\node\cryptodev\node_modules\mongoose\lib\document.js:47:18
      1  100.0%            Function: ~Model C:\node\cryptodev\node_modules\mongoose\lib\model.js:53:15
      1   50.0%          Function: ~Document C:\node\cryptodev\node_modules\mongoose\lib\document.js:47:18
      1  100.0%            Function: ~Model C:\node\cryptodev\node_modules\mongoose\lib\model.js:53:15
    101    1.0%      LazyCompile: *exports.XMLHttpRequest C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:18:34
     69   68.3%        Builtin: PromiseConstructor
     30   43.5%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:100:65
     30  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:110:68
     27   39.1%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:545:53
     27  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\etherscan-provider.js:107:70
     12   17.4%          Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:545:53
     12  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\etherscan-provider.js:107:70
     23   22.8%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:547:32
     23  100.0%          Builtin: PromiseConstructor
     23  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:100:65
      8    7.9%        Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:547:32
      8  100.0%          Builtin: PromiseConstructor
      4   50.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:100:65
      4   50.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:545:53
     99    1.0%      Function: ~TLSSocket._wrapHandle _tls_wrap.js:370:43
     81   81.8%        LazyCompile: *TLSSocket _tls_wrap.js:265:19
     81  100.0%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
     81  100.0%            Function: ~createConnection https.js:82:26
     18   18.2%        Function: ~TLSSocket _tls_wrap.js:265:19
     11   61.1%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
     11  100.0%            Function: ~createConnection https.js:82:26
      7   38.9%          Function: ~exports.connect _tls_wrap.js:1018:27
      7  100.0%            Function: ~createConnection https.js:82:26
   1755    9.4%    LazyCompile: *TLSSocket._wrapHandle _tls_wrap.js:370:43
   1755  100.0%      LazyCompile: *TLSSocket _tls_wrap.js:265:19
   1755  100.0%        LazyCompile: *exports.connect _tls_wrap.js:1018:27
   1753   99.9%          LazyCompile: *createConnection https.js:82:26
   1753  100.0%            LazyCompile: *addRequest _http_agent.js:140:49
    474    2.6%    LazyCompile: *SecureContext _tls_common.js:34:23
    474  100.0%      Function: ~createSecureContext _tls_common.js:57:59
    474  100.0%        LazyCompile: *exports.connect _tls_wrap.js:1018:27
    474  100.0%          LazyCompile: *createConnection https.js:82:26
    474  100.0%            LazyCompile: *addRequest _http_agent.js:140:49

   3267   11.1%  C:\WINDOWS\SYSTEM32\ntdll.dll
    824   25.2%    C:\Program Files (x86)\nodejs\node.exe
    166   20.1%      Function: ~ServerSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:110:14
    166  100.0%        Function: ~acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
    146   88.0%          Function: ~ClientSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:13:14
    146  100.0%            Function: ~startSession C:\node\cryptodev\node_modules\mongodb\lib\topologies\topology_base.js:292:15
     20   12.0%          LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     20  100.0%            LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
    109   13.2%      LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     70   64.2%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     70  100.0%          LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     56   80.0%            LazyCompile: *handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     14   20.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:748:22
     38   34.9%        Function: ~handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     38  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     38  100.0%            LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     84   10.2%      LazyCompile: *endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
     84  100.0%        Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     40   47.6%          LazyCompile: *handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     40  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     25   29.8%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     25  100.0%            Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     19   22.6%          Function: ~handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     19  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     68    8.3%      LazyCompile: *Pool.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1098:32
     46   67.6%        LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
     44   95.7%          LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
     44  100.0%            LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
      2    4.3%          LazyCompile: *nextObject C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:733:26
      2  100.0%            Function: ~next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
     15   22.1%        Function: ~Cursor._find C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:187:34
     15  100.0%          Function: ~nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      9   60.0%            Function: ~Cursor.next C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:790:33
      3   20.0%            LazyCompile: *nextObject C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:733:26
      3   20.0%            LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
      7   10.3%        Function: ~nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      7  100.0%          LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
      7  100.0%            LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     57    6.9%      LazyCompile: *ServerSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:110:14
     57  100.0%        Function: ~acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
     57  100.0%          LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     57  100.0%            LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
     40    4.9%      LazyCompile: *acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
     40  100.0%        LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     40  100.0%          LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
     40  100.0%            LazyCompile: *Query._findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1484:36
     38    4.6%      LazyCompile: *hasTimedOut C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:120:14
     33   86.8%        LazyCompile: *acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
     33  100.0%          LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     33  100.0%            LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
      5   13.2%        Function: ~release C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:163:10
      5  100.0%          Function: ~endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
      5  100.0%            Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     24    2.9%      LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
     24  100.0%        LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
     24  100.0%          LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     24  100.0%            LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     20    2.4%      Function: ~hasTimedOut C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:120:14
     20  100.0%        Function: ~release C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:163:10
     20  100.0%          Function: ~endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
     20  100.0%            Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
     20    2.4%      Function: ~Pool.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1098:32
     13   65.0%        Function: ~Cursor._find C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:187:34
     13  100.0%          Function: ~nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
     13  100.0%            Function: ~Cursor.next C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:790:33
      7   35.0%        LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      7  100.0%          LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
      7  100.0%            LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     18    2.2%      LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
     18  100.0%        LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
     18  100.0%          LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
     18  100.0%            LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     17    2.1%      LazyCompile: *executeOperation C:\node\cryptodev\node_modules\mongodb\lib\utils.js:365:26
     17  100.0%        Function: ~Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     13   76.5%          Function: ~NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
      9   69.2%            Function: ~Collection.doQueue C:\node\cryptodev\node_modules\mongoose\lib\collection.js:124:40
      4   30.8%            LazyCompile: *Query._findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1484:36
      4   23.5%          LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
      4  100.0%            LazyCompile: *Query._findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1484:36
     17    2.1%      Builtin: TypedArrayConstructByLength
     17  100.0%        LazyCompile: *Uint8Array native typedarray.js:158:31
     16   94.1%          LazyCompile: *Query.toBin C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:89:33
      6   37.5%            LazyCompile: *Pool.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1098:32
      3   18.8%            LazyCompile: *serializeCommands C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1044:33
      3   18.8%            LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      3   18.8%            LazyCompile: *Collection.find C:\node\cryptodev\node_modules\mongodb\lib\collection.js:233:37
      1    6.3%            LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
      1    5.9%          Function: ~FastBuffer buffer.js:37:14
      1  100.0%            Function: ~Buffer.alloc buffer.js:232:24
     15    1.8%      LazyCompile: *Collection.find C:\node\cryptodev\node_modules\mongodb\lib\collection.js:233:37
     15  100.0%        LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
     15  100.0%          LazyCompile: *next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:247:14
     15  100.0%            LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     14    1.7%      Builtin: StringPrototypeReplace
     14  100.0%        LazyCompile: *format url.js:566:39
     14  100.0%          LazyCompile: *parse url.js:101:37
      9   64.3%            LazyCompile: *send C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:267:23
      3   21.4%            LazyCompile: *urlParse url.js:93:18
      2   14.3%            Function: ~urlParse url.js:93:18
      9    1.1%      Function: ~autoEscapeStr url.js:442:23
      9  100.0%        LazyCompile: *parse url.js:101:37
      9  100.0%          LazyCompile: *send C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:267:23
      9  100.0%            Builtin: PromiseConstructor
    293    9.0%    LazyCompile: *Socket._writeGeneric net.js:708:42
     66   22.5%      LazyCompile: *Socket._write net.js:785:35
     66  100.0%        Function: ~doWrite _stream_writable.js:379:17
     66  100.0%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     66  100.0%            LazyCompile: *waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
     65   22.2%      LazyCompile: *doWrite _stream_writable.js:379:17
     65  100.0%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     65  100.0%          LazyCompile: *waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
     65  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1377:18
     63   21.5%      Function: ~Socket._write net.js:785:35
     63  100.0%        Function: ~doWrite _stream_writable.js:379:17
     60   95.2%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     60  100.0%            LazyCompile: *waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
      3    4.8%          Function: ~writeOrBuffer _stream_writable.js:339:23
      3  100.0%            Function: ~Writable.write _stream_writable.js:264:36
     61   20.8%      LazyCompile: *Writable.write _stream_writable.js:264:36
     61  100.0%        Function: ~Socket.write net.js:699:34
     61  100.0%          Function: ~Connection.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:704:38
     61  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     38   13.0%      LazyCompile: *Connection.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:704:38
     38  100.0%        Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     38  100.0%          LazyCompile: *waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
     38  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1377:18
    144    4.4%    LazyCompile: *fs.closeSync fs.js:611:24
    144  100.0%      Function: ~fs.writeFileSync fs.js:1286:28
    144  100.0%        Function: ~fs.appendFileSync fs.js:1327:29
    128   88.9%          Function: ~logError C:\node\cryptodev\contract-parser.js:55:20
    116   90.6%            Function: ~Promise.all.tokenIds.map C:\node\cryptodev\contract-parser.js:183:36
     12    9.4%            Function: ~<anonymous> C:\node\cryptodev\contract-parser.js:84:10
     16   11.1%          Function: ~logMsg C:\node\cryptodev\contract-parser.js:72:18
     16  100.0%            Function: ~<anonymous> C:\node\cryptodev\contract-parser.js:84:10
    102    3.1%    LazyCompile: *SecureContext _tls_common.js:34:23
    102  100.0%      Function: ~createSecureContext _tls_common.js:57:59
    102  100.0%        LazyCompile: *exports.connect _tls_wrap.js:1018:27
    102  100.0%          LazyCompile: *createConnection https.js:82:26
    102  100.0%            LazyCompile: *addRequest _http_agent.js:140:49
     60    1.8%    LazyCompile: *TLSSocket._wrapHandle _tls_wrap.js:370:43
     60  100.0%      LazyCompile: *TLSSocket _tls_wrap.js:265:19
     60  100.0%        LazyCompile: *exports.connect _tls_wrap.js:1018:27
     60  100.0%          LazyCompile: *createConnection https.js:82:26
     60  100.0%            LazyCompile: *addRequest _http_agent.js:140:49
     39    1.2%    LazyCompile: *lookup dns.js:122:16
     39  100.0%      LazyCompile: *lookupAndConnect net.js:1034:26
     39  100.0%        Function: ~Socket.connect net.js:977:36
     39  100.0%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
     38   97.4%            LazyCompile: *createConnection https.js:82:26
      1    2.6%            Function: ~createConnection https.js:82:26

    895    3.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:452:18
    619   69.2%    LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
    607   98.1%      Function: ~emitOne events.js:114:17
    409   67.4%        LazyCompile: *emit events.js:156:44
    409  100.0%          Function: ~addChunk _stream_readable.js:261:18
    259   63.3%            Function: ~readableAddChunk _stream_readable.js:216:26
    150   36.7%            LazyCompile: *onread net.js:576:16
    198   32.6%        Function: ~emit events.js:156:44
    198  100.0%          Function: ~addChunk _stream_readable.js:261:18
    198  100.0%            Function: ~readableAddChunk _stream_readable.js:216:26
     12    1.9%      LazyCompile: *emitOne events.js:114:17
     12  100.0%        LazyCompile: *emit events.js:156:44
     12  100.0%          Function: ~addChunk _stream_readable.js:261:18
     12  100.0%            Function: ~readableAddChunk _stream_readable.js:216:26
    240   26.8%    Function: ~emitMessageHandler C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:283:34
    240  100.0%      Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
    240  100.0%        Function: ~emitOne events.js:114:17
    240  100.0%          Function: ~emit events.js:156:44
    240  100.0%            Function: ~addChunk _stream_readable.js:261:18
     36    4.0%    LazyCompile: *emitMessageHandler C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:283:34
     30   83.3%      Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
     30  100.0%        Function: ~emitOne events.js:114:17
     25   83.3%          LazyCompile: *emit events.js:156:44
     25  100.0%            Function: ~addChunk _stream_readable.js:261:18
      5   16.7%          Function: ~emit events.js:156:44
      5  100.0%            Function: ~addChunk _stream_readable.js:261:18
      6   16.7%      LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
      6  100.0%        Function: ~emitOne events.js:114:17
      4   66.7%          LazyCompile: *emit events.js:156:44
      4  100.0%            Function: ~addChunk _stream_readable.js:261:18
      2   33.3%          Function: ~emit events.js:156:44
      2  100.0%            Function: ~addChunk _stream_readable.js:261:18

    591    2.0%  UNKNOWN
     20    3.4%    LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
     20  100.0%      Function: ~getAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:77:20
     15   75.0%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
     14   93.3%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:720:75
     14  100.0%            Builtin: PromiseHandle
      1    6.7%          LazyCompile: *check C:\node\cryptodev\node_modules\ethers-providers\provider.js:40:15
      1  100.0%            Function: ~checkTransactionRequest C:\node\cryptodev\node_modules\ethers-providers\provider.js:273:33
      3   15.0%        Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
      3  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      3  100.0%            Builtin: ArrayForEach
      1    5.0%        Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
      1  100.0%          LazyCompile: *check C:\node\cryptodev\node_modules\ethers-providers\provider.js:40:15
      1  100.0%            Function: ~checkTransactionRequest C:\node\cryptodev\node_modules\ethers-providers\provider.js:273:33
      1    5.0%        Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      1  100.0%          Builtin: PromiseHandle
      1  100.0%            Stub: CallApiCallbackStub
     12    2.0%    LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
     10    1.7%    LazyCompile: *keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
      5   50.0%      LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      5  100.0%        Builtin: PromiseHandle
      5  100.0%          Stub: CallApiCallbackStub
      5  100.0%            LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
      3   30.0%      LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      3  100.0%        Builtin: ArrayForEach
      3  100.0%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      3  100.0%            Builtin: PromiseHandle
      1   10.0%      LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
      1  100.0%        Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      1  100.0%          Builtin: ArrayForEach
      1  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      1   10.0%      Builtin: ArrayForEach
      1  100.0%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      1  100.0%          Builtin: PromiseHandle
      1  100.0%            Stub: CallApiCallbackStub
      9    1.5%    Function: ~request http.js:37:17
      9  100.0%      Function: ~request https.js:225:35
      6   66.7%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:547:32
      6  100.0%          Builtin: PromiseConstructor
