Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  Function: ~open C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:156:23
      4    0.0%    0.1%  Function: ~insert timers.js:158:16
      4    0.0%    0.1%  Function: ~get C:\node\cryptodev\node_modules\mongodb\lib\db.js:247:16
      4    0.0%    0.1%  Function: ~f C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:283:20
      4    0.0%    0.1%  Function: ~exports.connect _tls_wrap.js:1018:27
      4    0.0%    0.1%  Function: ~emitNone events.js:104:18
      4    0.0%    0.1%  Function: ~createWriteReq net.js:789:24
      4    0.0%    0.1%  Function: ~commands.forEach.command C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1220:22
      4    0.0%    0.1%  Function: ~close _tls_wrap.js:338:50
      4    0.0%    0.1%  Function: ~abort C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:539:24
      4    0.0%    0.1%  Function: ~_destroy internal/streams/destroy.js:32:30
      4    0.0%    0.1%  Function: ~Writable.write _stream_writable.js:264:36
      4    0.0%    0.1%  Function: ~Socket._write net.js:785:35
      4    0.0%    0.1%  Function: ~NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
      4    0.0%    0.1%  Function: ~Agent https.js:128:15
      4    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongoose\lib\document.js:1113:46
      4    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1377:18
      4    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:720:75
      4    0.0%    0.1%  Builtin: ToObject
      4    0.0%    0.1%  Builtin: StringPrototypeToLowerCaseIntl
      4    0.0%    0.1%  Builtin: StringPrototypeReplace
      4    0.0%    0.1%  Builtin: StringCharAt
      4    0.0%    0.1%  Builtin: PromiseResolveClosure
      4    0.0%    0.1%  Builtin: NewUnmappedArgumentsElements
      4    0.0%    0.1%  Builtin: JSConstructStubApi
      4    0.0%    0.1%  Builtin: Equal
      3    0.0%    0.0%  Stub: RecordWriteStub {2}
      3    0.0%    0.0%  Stub: RecordWriteStub {12}
      3    0.0%    0.0%  Stub: RecordWriteStub {11}
      3    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      3    0.0%    0.0%  LazyCompile: *toObject C:\node\cryptodev\node_modules\mongoose\lib\utils.js:337:37
      3    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:819:17
      3    0.0%    0.0%  LazyCompile: *merge C:\node\cryptodev\node_modules\mongoose\lib\utils.js:309:31
      3    0.0%    0.0%  LazyCompile: *isAllowedHttpMethod C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:139:37
      3    0.0%    0.0%  LazyCompile: *httpSocketSetup _http_common.js:233:25
      3    0.0%    0.0%  LazyCompile: *getHeader _http_outgoing.js:526:57
      3    0.0%    0.0%  LazyCompile: *get C:\node\cryptodev\node_modules\mongoose\lib\services\document\compile.js:120:20
